AREA_NO,HOLIDAY,ELECTRO_TYPE,TRADE_NO,WINDSPEED,LAPSERATE,AIRPRESSURE,HUMIDITY,PRECIPITATIONRANINFALL
35401,0,100,1360,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1360,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1360,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1360,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1360,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1360,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1370,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1370,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1430,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1430,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1430,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1430,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1430,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1490,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1530,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1530,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1710,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1710,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1710,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1710,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1710,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1710,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1710,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1720,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1720,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1720,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1740,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1740,2.7875,22.17083333,1003.016667,64.16666667,0
35401,0,100,1740,2.804166667,21.7125,999.225,87.04166667,2
35401,0,100,1740,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1740,3.7,26.8625,992.9125,79.04166667,11
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.083333333,23.02083333,1000.004167,92.0,6
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
35401,0,100,1750,2.333333333,18.68333333,1003.891667,80.375,2
